symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2015-11-24 00:00:00+00:00,218.25,221.0,215.0,215.37,2480293,218.25,221.0,215.0,215.37,2480293,0.0,1.0
TSLA,2015-11-25 00:00:00+00:00,229.64,230.825,220.375,221.34,3990779,229.64,230.825,220.375,221.34,3990779,0.0,1.0
TSLA,2015-11-27 00:00:00+00:00,231.61,232.25,227.01,231.06,1949353,231.61,232.25,227.01,231.06,1949353,0.0,1.0
TSLA,2015-11-30 00:00:00+00:00,230.26,234.28,229.08,231.79,2659813,230.26,234.28,229.08,231.79,2659813,0.0,1.0
TSLA,2015-12-01 00:00:00+00:00,237.19,238.0,231.05,231.06,3733955,237.19,238.0,231.05,231.06,3733955,0.0,1.0
TSLA,2015-12-02 00:00:00+00:00,231.99,238.6,231.23,237.0,2981468,231.99,238.6,231.23,237.0,2981468,0.0,1.0
TSLA,2015-12-03 00:00:00+00:00,232.71,237.45,230.0,235.48,2939564,232.71,237.45,230.0,235.48,2939564,0.0,1.0
TSLA,2015-12-04 00:00:00+00:00,230.38,233.27,227.66,232.46,2573603,230.38,233.27,227.66,232.46,2573603,0.0,1.0
TSLA,2015-12-07 00:00:00+00:00,231.13,235.63,226.15,227.7,3144223,231.13,235.63,226.15,227.7,3144223,0.0,1.0
TSLA,2015-12-08 00:00:00+00:00,226.72,228.8,224.2,227.52,2687636,226.72,228.8,224.2,227.52,2687636,0.0,1.0
TSLA,2015-12-09 00:00:00+00:00,224.52,227.5,220.72,226.7,3057753,224.52,227.5,220.72,226.7,3057753,0.0,1.0
TSLA,2015-12-10 00:00:00+00:00,227.07,228.49,223.64,224.71,2071692,227.07,228.49,223.64,224.71,2071692,0.0,1.0
TSLA,2015-12-11 00:00:00+00:00,217.02,225.75,216.64,225.24,3268726,217.02,225.75,216.64,225.24,3268726,0.0,1.0
TSLA,2015-12-14 00:00:00+00:00,218.58,220.92,214.87,217.51,2831518,218.58,220.92,214.87,217.51,2831518,0.0,1.0
TSLA,2015-12-15 00:00:00+00:00,221.09,222.22,218.0,221.82,2244424,221.09,222.22,218.0,221.82,2244424,0.0,1.0
TSLA,2015-12-16 00:00:00+00:00,234.51,234.88,220.73,222.1,5104341,234.51,234.88,220.73,222.1,5104341,0.0,1.0
TSLA,2015-12-17 00:00:00+00:00,233.39,237.76,229.8149,233.94,3298638,233.39,237.76,229.8149,233.94,3298638,0.0,1.0
TSLA,2015-12-18 00:00:00+00:00,230.46,235.9,229.29,232.89,3014170,230.46,235.9,229.29,232.89,3014170,0.0,1.0
TSLA,2015-12-21 00:00:00+00:00,232.56,235.83,231.08,231.69,1953174,232.56,235.83,231.08,231.69,1953174,0.0,1.0
TSLA,2015-12-22 00:00:00+00:00,229.95,236.55,229.63,234.99,1961495,229.95,236.55,229.63,234.99,1961495,0.0,1.0
TSLA,2015-12-23 00:00:00+00:00,229.7,233.45,228.13,232.18,1554979,229.7,233.45,228.13,232.18,1554979,0.0,1.0
TSLA,2015-12-24 00:00:00+00:00,230.57,231.88,228.28,230.56,710277,230.57,231.88,228.28,230.56,710277,0.0,1.0
TSLA,2015-12-28 00:00:00+00:00,228.95,231.98,225.54,231.49,1901304,228.95,231.98,225.54,231.49,1901304,0.0,1.0
TSLA,2015-12-29 00:00:00+00:00,237.19,237.72,229.547,230.06,2406290,237.19,237.72,229.547,230.06,2406290,0.0,1.0
TSLA,2015-12-30 00:00:00+00:00,238.09,243.634,235.6707,236.6,3697921,238.09,243.634,235.6707,236.6,3697921,0.0,1.0
TSLA,2015-12-31 00:00:00+00:00,240.01,243.45,238.37,238.51,2715038,240.01,243.45,238.37,238.51,2715038,0.0,1.0
TSLA,2016-01-04 00:00:00+00:00,223.41,231.38,219.0,230.72,6827146,223.41,231.38,219.0,230.72,6827146,0.0,1.0
TSLA,2016-01-05 00:00:00+00:00,223.43,226.89,220.0,226.36,3186752,223.43,226.89,220.0,226.36,3186752,0.0,1.0
TSLA,2016-01-06 00:00:00+00:00,219.04,220.05,215.98,220.0,3779128,219.04,220.05,215.98,220.0,3779128,0.0,1.0
TSLA,2016-01-07 00:00:00+00:00,215.65,218.44,213.67,214.19,3554251,215.65,218.44,213.67,214.19,3554251,0.0,1.0
TSLA,2016-01-08 00:00:00+00:00,211.0,220.44,210.77,217.86,3628058,211.0,220.44,210.77,217.86,3628058,0.0,1.0
TSLA,2016-01-11 00:00:00+00:00,207.85,214.45,203.0,214.01,4091422,207.85,214.45,203.0,214.01,4091422,0.0,1.0
TSLA,2016-01-12 00:00:00+00:00,209.97,213.7395,205.31,211.6,3091917,209.97,213.7395,205.31,211.6,3091917,0.0,1.0
TSLA,2016-01-13 00:00:00+00:00,200.31,212.65,200.0,212.01,4126416,200.31,212.65,200.0,212.01,4126416,0.0,1.0
TSLA,2016-01-14 00:00:00+00:00,206.18,210.0,193.38,202.21,6490741,206.18,210.0,193.38,202.21,6490741,0.0,1.0
TSLA,2016-01-15 00:00:00+00:00,204.99,205.07,197.25,198.97,5578640,204.99,205.07,197.25,198.97,5578640,0.0,1.0
TSLA,2016-01-19 00:00:00+00:00,204.72,210.47,200.78,208.71,4038676,204.72,210.47,200.78,208.71,4038676,0.0,1.0
TSLA,2016-01-20 00:00:00+00:00,198.7,201.28,191.25,199.4,5838608,198.7,201.28,191.25,199.4,5838608,0.0,1.0
TSLA,2016-01-21 00:00:00+00:00,199.97,203.23,195.02,201.55,3166159,199.97,203.23,195.02,201.55,3166159,0.0,1.0
TSLA,2016-01-22 00:00:00+00:00,202.55,205.5,199.03,204.8005,3124055,202.55,205.5,199.03,204.8005,3124055,0.0,1.0
TSLA,2016-01-25 00:00:00+00:00,196.38,203.57,195.88,200.06,2698739,196.38,203.57,195.88,200.06,2698739,0.0,1.0
TSLA,2016-01-26 00:00:00+00:00,193.56,197.82,188.88,196.7,4964180,193.56,197.82,188.88,196.7,4964180,0.0,1.0
TSLA,2016-01-27 00:00:00+00:00,188.07,193.26,185.77,192.38,3617221,188.07,193.26,185.77,192.38,3617221,0.0,1.0
TSLA,2016-01-28 00:00:00+00:00,189.7,191.28,182.41,190.79,4592754,189.7,191.28,182.41,190.79,4592754,0.0,1.0
TSLA,2016-01-29 00:00:00+00:00,191.2,193.74,188.08,189.95,2852289,191.2,193.74,188.08,189.95,2852289,0.0,1.0
TSLA,2016-02-01 00:00:00+00:00,196.94,199.52,182.75,188.76,5297639,196.94,199.52,182.75,188.76,5297639,0.0,1.0
TSLA,2016-02-02 00:00:00+00:00,182.78,193.12,180.23,192.42,5773637,182.78,193.12,180.23,192.42,5773637,0.0,1.0
TSLA,2016-02-03 00:00:00+00:00,173.48,183.94,170.18,183.59,7931362,173.48,183.94,170.18,183.59,7931362,0.0,1.0
TSLA,2016-02-04 00:00:00+00:00,175.33,175.98,166.99,170.7,4385366,175.33,175.98,166.99,170.7,4385366,0.0,1.0
TSLA,2016-02-05 00:00:00+00:00,162.6,173.0,157.7442,171.3,9437591,162.6,173.0,157.7442,171.3,9437591,0.0,1.0
TSLA,2016-02-08 00:00:00+00:00,147.99,157.15,146.0,157.105,9312988,147.99,157.15,146.0,157.105,9312988,0.0,1.0
TSLA,2016-02-09 00:00:00+00:00,148.25,159.79,141.05,142.32,8651648,148.25,159.79,141.05,142.32,8651648,0.0,1.0
TSLA,2016-02-10 00:00:00+00:00,143.67,154.97,141.74,150.5,10406513,143.67,154.97,141.74,150.5,10406513,0.0,1.0
TSLA,2016-02-11 00:00:00+00:00,150.47,163.26,147.0,152.0,14252364,150.47,163.26,147.0,152.0,14252364,0.0,1.0
TSLA,2016-02-12 00:00:00+00:00,151.04,157.01,143.7,155.0,7235783,151.04,157.01,143.7,155.0,7235783,0.0,1.0
TSLA,2016-02-16 00:00:00+00:00,155.17,162.95,154.11,158.7,5593794,155.17,162.95,154.11,158.7,5593794,0.0,1.0
TSLA,2016-02-17 00:00:00+00:00,168.68,169.34,156.68,159.0,5825159,168.68,169.34,156.68,159.0,5825159,0.0,1.0
TSLA,2016-02-18 00:00:00+00:00,166.77,172.95,164.77,172.42,3887574,166.77,172.95,164.77,172.42,3887574,0.0,1.0
TSLA,2016-02-19 00:00:00+00:00,166.58,167.49,162.5,163.66,2959390,166.58,167.49,162.5,163.66,2959390,0.0,1.0
TSLA,2016-02-22 00:00:00+00:00,177.74,178.91,169.85,170.12,5060051,177.74,178.91,169.85,170.12,5060051,0.0,1.0
TSLA,2016-02-23 00:00:00+00:00,177.21,181.73,173.68,176.16,5984374,177.21,181.73,173.68,176.16,5984374,0.0,1.0
TSLA,2016-02-24 00:00:00+00:00,179.0,179.5,167.84,172.75,5395609,179.0,179.5,167.84,172.75,5395609,0.0,1.0
TSLA,2016-02-25 00:00:00+00:00,187.43,188.5192,175.2,178.65,5750741,187.43,188.5192,175.2,178.65,5750741,0.0,1.0
